bot,round,winningPer
Steamhammer,35,0.5833
Steamhammer,36,0.5
Steamhammer,37,0.5833
Steamhammer,38,0.5
Steamhammer,39,0.5833
Steamhammer,40,0.5
Steamhammer,41,0.5833
Steamhammer,42,0.5833
Steamhammer,43,0.4167
Steamhammer,44,0.5833
Steamhammer,45,0.75
Steamhammer,46,0.3333
Steamhammer,47,0.5833
Steamhammer,48,0.5
Steamhammer,49,0.5833
Steamhammer,50,0.3333
Steamhammer,51,0.75
Steamhammer,52,0.6667
Steamhammer,53,0.5833
Steamhammer,54,0.5
Steamhammer,55,0.5833
Steamhammer,56,0.5
Steamhammer,57,0.6667
Steamhammer,58,0.5833
Steamhammer,59,0.6667
Steamhammer,60,0.5833
Steamhammer,61,0.6667
Steamhammer,62,0.5833
Steamhammer,63,0.4167
Steamhammer,64,0.4167
Steamhammer,65,0.5833
Steamhammer,66,0.5
Steamhammer,67,0.5
Steamhammer,68,0.5
Steamhammer,69,0.5
Steamhammer,70,0.4167
Steamhammer,71,0.5
Steamhammer,72,0.75
Steamhammer,73,0.5
Steamhammer,74,0.4167
Steamhammer,75,0.5
Steamhammer,76,0.3333
Steamhammer,77,0.5833
Steamhammer,78,0.5
Steamhammer,79,0.4167
Steamhammer,80,0.3333
Steamhammer,81,0.5833
Steamhammer,82,0.75
Steamhammer,83,0.3636
Steamhammer,84,0.3333
Steamhammer,85,0.4167
Steamhammer,86,0.6667
Steamhammer,87,0.75
Steamhammer,88,0.6667
Steamhammer,89,0.5
Steamhammer,90,0.5
Steamhammer,91,0.4167
Steamhammer,92,0.5
Steamhammer,93,0.5
Steamhammer,94,0.4167
Steamhammer,95,0.4167
Steamhammer,96,0.6667
Steamhammer,97,0.5
Steamhammer,98,0.5
Steamhammer,99,0.6667
ZZZKBot,0,0.3333
ZZZKBot,1,0.1667
ZZZKBot,2,0.3333
ZZZKBot,3,0.3333
ZZZKBot,4,0.1667
ZZZKBot,5,0.25
ZZZKBot,6,0.25
ZZZKBot,7,0.6667
ZZZKBot,8,0.6667
ZZZKBot,9,0.75
ZZZKBot,10,0.5
ZZZKBot,11,0.3333
ZZZKBot,12,0.5
ZZZKBot,13,0.5833
ZZZKBot,14,0.5833
ZZZKBot,15,0.5
ZZZKBot,16,0.4167
ZZZKBot,17,0.5833
ZZZKBot,18,0.5833
ZZZKBot,19,0.6667
ZZZKBot,20,0.25
ZZZKBot,21,0.5833
ZZZKBot,22,0.5833
ZZZKBot,23,0.3333
ZZZKBot,24,0.5
ZZZKBot,25,0.5833
ZZZKBot,26,0.5
ZZZKBot,27,0.5
ZZZKBot,28,0.5
ZZZKBot,29,0.5833
ZZZKBot,30,0.4167
ZZZKBot,31,0.6667
ZZZKBot,32,0.5833
ZZZKBot,33,0.5
ZZZKBot,34,0.5
ZZZKBot,35,0.4167
ZZZKBot,36,0.6667
ZZZKBot,37,0.5833
ZZZKBot,38,0.3333
ZZZKBot,39,0.5
ZZZKBot,40,0.4167
ZZZKBot,41,0.5
ZZZKBot,42,0.6667
ZZZKBot,43,0.4167
ZZZKBot,44,0.4167
ZZZKBot,45,0.3333
ZZZKBot,46,0.5833
ZZZKBot,47,0.6667
ZZZKBot,48,0.75
ZZZKBot,49,0.5833
ZZZKBot,50,0.6667
ZZZKBot,51,0.4167
ZZZKBot,52,0.5833
ZZZKBot,53,0.5833
ZZZKBot,54,0.5833
ZZZKBot,55,0.5833
ZZZKBot,56,0.5
ZZZKBot,57,0.6667
ZZZKBot,58,0.4167
ZZZKBot,59,0.5833
ZZZKBot,60,0.6667
ZZZKBot,61,0.5
ZZZKBot,62,0.5
ZZZKBot,63,0.5833
ZZZKBot,64,0.5833
ZZZKBot,65,0.5833
ZZZKBot,66,0.5833
ZZZKBot,67,0.5
ZZZKBot,68,0.4167
ZZZKBot,69,0.3333
ZZZKBot,70,0.5833
ZZZKBot,71,0.5
ZZZKBot,72,0.5833
ZZZKBot,73,0.5
ZZZKBot,74,0.4167
ZZZKBot,75,0.5833
ZZZKBot,76,0.5
ZZZKBot,77,0.5833
ZZZKBot,78,0.75
ZZZKBot,79,0.4167
ZZZKBot,80,0.5
ZZZKBot,81,0.5833
ZZZKBot,82,0.5
ZZZKBot,83,0.5833
ZZZKBot,84,0.5833
ZZZKBot,85,0.5
ZZZKBot,86,0.5833
ZZZKBot,87,0.5
ZZZKBot,88,0.5833
ZZZKBot,89,0.6667
ZZZKBot,90,0.6667
ZZZKBot,91,0.5
ZZZKBot,92,0.4167
ZZZKBot,93,0.4167
ZZZKBot,94,0.75
ZZZKBot,95,0.5
ZZZKBot,96,0.5
ZZZKBot,97,0.6667
ZZZKBot,98,0.5833
ZZZKBot,99,0.6667
Microwave,0,0.4167
Microwave,1,0.6667
Microwave,2,0.5833
Microwave,3,0.5
Microwave,4,0.5
Microwave,5,0.5833
Microwave,6,0.5
Microwave,7,0.6667
Microwave,8,0.5
Microwave,9,0.5833
Microwave,10,0.4167
Microwave,11,0.5833
Microwave,12,0.6667
Microwave,13,0.5
Microwave,14,0.3333
Microwave,15,0.5833
Microwave,16,0.6667
Microwave,17,0.5
Microwave,18,0.4167
Microwave,19,0.5833
Microwave,20,0.25
Microwave,21,0.5833
Microwave,22,0.3333
Microwave,23,0.5
Microwave,24,0.5
Microwave,25,0.4167
Microwave,26,0.5833
Microwave,27,0.5833
Microwave,28,0.4167
Microwave,29,0.6667
Microwave,30,0.4167
Microwave,31,0.5
Microwave,32,0.5833
Microwave,33,0.4167
Microwave,34,0.3333
Microwave,35,0.4167
Microwave,36,0.75
Microwave,37,0.4167
Microwave,38,0.5833
Microwave,39,0.6667
Microwave,40,0.5
Microwave,41,0.4167
Microwave,42,0.3333
Microwave,43,0.5
Microwave,44,0.5833
Microwave,45,0.4167
Microwave,46,0.5
Microwave,47,0.3333
Microwave,48,0.4167
Microwave,49,0.5
Microwave,50,0.5
Microwave,51,0.5
Microwave,52,0.5
Microwave,53,0.4167
Microwave,54,0.3333
Microwave,55,0.4167
Microwave,56,0.5833
Microwave,57,0.3333
Microwave,58,0.4167
Microwave,59,0.4167
Microwave,60,0.4167
Microwave,61,0.6667
Microwave,62,0.4167
Microwave,63,0.5
Microwave,64,0.6667
Microwave,65,0.4167
Microwave,66,0.4167
Microwave,67,0.5833
Microwave,68,0.5833
Microwave,69,0.4167
Microwave,70,0.5
Microwave,71,0.5833
Microwave,72,0.6667
Microwave,73,0.5
Microwave,74,0.5833
Microwave,75,0.4167
Microwave,76,0.5833
Microwave,77,0.6667
Microwave,78,0.4167
Microwave,79,0.5833
Microwave,80,0.4167
Microwave,81,0.5833
Microwave,82,0.3333
Microwave,83,0.4167
Microwave,84,0.5
Microwave,85,0.5
Microwave,86,0.4167
Microwave,87,0.3333
Microwave,88,0.75
Microwave,89,0.5
Microwave,90,0.5833
Microwave,91,0.75
Microwave,92,0.6667
Microwave,93,0.5833
Microwave,94,0.5
Microwave,95,0.5833
Microwave,96,0.5
Microwave,97,0.5
Microwave,98,0.5833
Microwave,99,0.5
Iron,0,0.5
Iron,1,0.5833
Iron,2,0.5
Iron,3,0.5
Iron,4,0.5833
Iron,5,0.4167
Iron,6,0.4167
Iron,7,0.4167
Iron,8,0.4167
Iron,9,0.5833
Iron,10,0.6667
Iron,11,0.5
Iron,12,0.5833
Iron,13,0.6667
Iron,14,0.4167
Iron,15,0.4167
Iron,16,0.5
Iron,17,0.25
Iron,18,0.4167
Iron,19,0.5
Iron,20,0.5833
Iron,21,0.5
Iron,22,0.5
Iron,23,0.6667
Iron,24,0.6667
Iron,25,0.4167
Iron,26,0.3333
Iron,27,0.5833
Iron,28,0.5833
Iron,29,0.5
Iron,30,0.5
Iron,31,0.4167
Iron,32,0.5
Iron,33,0.5833
Iron,34,0.5833
Iron,35,0.5
Iron,36,0.3333
Iron,37,0.5
Iron,38,0.4167
Iron,39,0.4167
Iron,40,0.5833
Iron,41,0.6667
Iron,42,0.4167
Iron,43,0.6667
Iron,44,0.5
Iron,45,0.4167
Iron,46,0.3333
Iron,47,0.5
Iron,48,0.4167
Iron,49,0.5833
Iron,50,0.5833
Iron,51,0.5
Iron,52,0.5
Iron,53,0.3333
Iron,54,0.5
Iron,55,0.3333
Iron,56,0.4167
Iron,57,0.5833
Iron,58,0.5
Iron,59,0.5833
Iron,60,0.5
Iron,61,0.5
Iron,62,0.5
Iron,63,0.5
Iron,64,0.5
Iron,65,0.5
Iron,66,0.6667
Iron,67,0.4167
Iron,68,0.5833
Iron,69,0.5833
Iron,70,0.5
Iron,71,0.5
Iron,72,0.4167
Iron,73,0.6667
Iron,74,0.5833
Iron,75,0.4167
Iron,76,0.3333
Iron,77,0.4167
Iron,78,0.5
Iron,79,0.5
Iron,80,0.5833
Iron,81,0.4167
Iron,82,0.3333
Iron,83,0.5
Iron,84,0.5833
Iron,85,0.5
Iron,86,0.4167
Iron,87,0.5
Iron,88,0.4167
Iron,89,0.4167
Iron,90,0.5833
Iron,91,0.5833
Iron,92,0.3333
Iron,93,0.5
Iron,94,0.4167
Iron,95,0.5
Iron,96,0.3333
Iron,97,0.5
Iron,98,0.4167
Iron,99,0.5
XiaoYi,0,0.75
XiaoYi,1,0.4167
XiaoYi,2,0.5833
XiaoYi,3,0.5
XiaoYi,4,0.5833
XiaoYi,5,0.5
XiaoYi,6,0.5833
XiaoYi,7,0.3333
XiaoYi,8,0.5
XiaoYi,9,0.5833
XiaoYi,10,0.5
XiaoYi,11,0.3333
XiaoYi,12,0.5833
XiaoYi,13,0.3333
XiaoYi,14,0.6667
XiaoYi,15,0.5833
XiaoYi,16,0.4167
XiaoYi,17,0.75
XiaoYi,18,0.6667
XiaoYi,19,0.6667
XiaoYi,20,0.6667
XiaoYi,21,0.4167
XiaoYi,22,0.5833
XiaoYi,23,0.5833
XiaoYi,24,0.5833
XiaoYi,25,0.4167
XiaoYi,26,0.4167
XiaoYi,27,0.6667
XiaoYi,28,0.4545
XiaoYi,29,0.5
XiaoYi,30,0.6364
XiaoYi,31,0.3333
XiaoYi,32,0.4167
XiaoYi,33,0.5833
XiaoYi,34,0.8333
XiaoYi,35,0.6667
XiaoYi,36,0.5
XiaoYi,37,0.6667
XiaoYi,38,0.5
XiaoYi,39,0.4167
XiaoYi,40,0.3333
XiaoYi,41,0.3333
XiaoYi,42,0.4167
XiaoYi,43,0.5833
XiaoYi,44,0.5833
XiaoYi,45,0.5833
XiaoYi,46,0.5833
XiaoYi,47,0.6667
XiaoYi,48,0.5
XiaoYi,49,0.3333
XiaoYi,50,0.4167
XiaoYi,51,0.4167
XiaoYi,52,0.5833
XiaoYi,53,0.6667
XiaoYi,54,0.5833
XiaoYi,55,0.5833
XiaoYi,56,0.5
XiaoYi,57,0.3333
XiaoYi,58,0.5
XiaoYi,59,0.3333
XiaoYi,60,0.4167
XiaoYi,61,0.1667
XiaoYi,62,0.4167
XiaoYi,63,0.5
XiaoYi,64,0.4167
XiaoYi,65,0.4545
XiaoYi,66,0.4167
XiaoYi,67,0.4167
XiaoYi,68,0.5
XiaoYi,69,0.5
XiaoYi,70,0.5
XiaoYi,71,0.25
XiaoYi,72,0.4167
XiaoYi,73,0.4167
XiaoYi,74,0.5833
XiaoYi,75,0.5455
XiaoYi,76,0.5
XiaoYi,77,0.3636
XiaoYi,78,0.5
XiaoYi,79,0.3333
XiaoYi,80,0.4167
XiaoYi,81,0.5
XiaoYi,82,0.6667
XiaoYi,83,0.5
XiaoYi,84,0.4167
XiaoYi,85,0.4167
XiaoYi,86,0.3333
XiaoYi,87,0.3333
XiaoYi,88,0.5
XiaoYi,89,0.5
XiaoYi,90,0.3333
XiaoYi,91,0.25
XiaoYi,92,0.5
XiaoYi,93,0.5
XiaoYi,94,0.4167
XiaoYi,95,0.1667
XiaoYi,96,0.4167
XiaoYi,97,0.6667
XiaoYi,98,0.4167
XiaoYi,99,0.25
McRave,0,0.5
McRave,1,0.4167
McRave,2,0.4167
McRave,3,0.3333
McRave,4,0.5833
McRave,5,0.25
McRave,6,0.5
McRave,7,0.6667
McRave,8,0.3333
McRave,9,0.1667
McRave,10,0.25
McRave,11,0.3333
McRave,12,0.3333
McRave,13,0.25
McRave,14,0.3333
McRave,15,0.4167
McRave,16,0.3333
McRave,17,0.4167
McRave,18,0.4167
McRave,19,0.3333
McRave,20,0.25
McRave,21,0.5
McRave,22,0.1667
McRave,23,0.3333
McRave,24,0.3333
McRave,25,0.4167
McRave,26,0.3333
McRave,27,0.5833
McRave,28,0.4167
McRave,29,0.5833
McRave,30,0.5833
McRave,31,0.5
McRave,32,0.25
McRave,33,0.25
McRave,34,0.4167
McRave,35,0.3333
McRave,36,0.25
McRave,37,0.5
McRave,38,0.75
McRave,39,0.5
McRave,40,0.4167
McRave,41,0.3333
McRave,42,0.4167
McRave,43,0.4167
McRave,44,0.3333
McRave,45,0.5833
McRave,46,0.5833
McRave,47,0.4167
McRave,48,0.4167
McRave,49,0.3333
McRave,50,0.4167
McRave,51,0.5
McRave,52,0.4167
McRave,53,0.25
McRave,54,0.5833
McRave,55,0.3333
McRave,56,0.25
McRave,57,0.6667
McRave,58,0.5
McRave,59,0.5
McRave,60,0.4167
McRave,61,0.1667
McRave,62,0.25
McRave,63,0.3333
McRave,64,0.4167
McRave,65,0.5833
McRave,66,0.1667
McRave,67,0.4167
McRave,68,0.5833
McRave,69,0.5
McRave,70,0.3333
McRave,71,0.4167
McRave,72,0.3333
McRave,73,0.1667
McRave,74,0.5
McRave,75,0.0833
McRave,76,0.4167
McRave,77,0.5833
McRave,78,0.5833
McRave,79,0.5
McRave,80,0.3333
McRave,81,0.4167
McRave,82,0.1667
McRave,83,0.4167
McRave,84,0.75
McRave,85,0.5833
McRave,86,0.4167
McRave,87,0.3333
McRave,88,0.4167
McRave,89,0.25
McRave,90,0.1667
McRave,91,0.3333
McRave,92,0.3333
McRave,93,0.5
McRave,94,0.5
McRave,95,0.4167
McRave,96,0.4167
McRave,97,0.25
McRave,98,0.4167
McRave,99,0.3333
UAlbertaBot,0,0.1667
UAlbertaBot,1,0.0833
UAlbertaBot,2,0.3333
UAlbertaBot,3,0.3333
UAlbertaBot,4,0.25
UAlbertaBot,5,0.4167
UAlbertaBot,6,0.25
UAlbertaBot,7,0.1667
UAlbertaBot,8,0.25
UAlbertaBot,9,0.25
UAlbertaBot,10,0.3333
UAlbertaBot,11,0.3333
UAlbertaBot,12,0.0833
UAlbertaBot,13,0.3333
UAlbertaBot,14,0.5
UAlbertaBot,15,0.25
UAlbertaBot,16,0.3636
UAlbertaBot,17,0.25
UAlbertaBot,18,0.3333
UAlbertaBot,19,0.0909
UAlbertaBot,20,0.4167
UAlbertaBot,21,0.1667
UAlbertaBot,22,0.25
UAlbertaBot,23,0.0833
UAlbertaBot,24,0.25
UAlbertaBot,25,0.1667
UAlbertaBot,26,0.5455
UAlbertaBot,27,0.1667
UAlbertaBot,28,0.0909
UAlbertaBot,29,0.1667
UAlbertaBot,30,0.5455
UAlbertaBot,31,0.1667
UAlbertaBot,32,0.3333
UAlbertaBot,33,0.25
UAlbertaBot,34,0.25
UAlbertaBot,35,0.3333
UAlbertaBot,36,0.25
UAlbertaBot,37,0.1667
UAlbertaBot,38,0.25
UAlbertaBot,39,0.3333
UAlbertaBot,40,0.3333
UAlbertaBot,41,0.3333
UAlbertaBot,42,0.25
UAlbertaBot,43,0.25
UAlbertaBot,44,0.3333
UAlbertaBot,45,0.25
UAlbertaBot,46,0.4167
UAlbertaBot,47,0.3333
UAlbertaBot,48,0.1667
UAlbertaBot,49,0.1667
UAlbertaBot,50,0.25
UAlbertaBot,51,0.1667
UAlbertaBot,52,0.0833
UAlbertaBot,53,0.3333
UAlbertaBot,54,0.1667
UAlbertaBot,55,0.25
UAlbertaBot,56,0.3636
UAlbertaBot,57,0.3636
UAlbertaBot,58,0.4167
UAlbertaBot,59,0.3333
UAlbertaBot,60,0.25
UAlbertaBot,61,0.25
UAlbertaBot,62,0.25
UAlbertaBot,63,0.4167
UAlbertaBot,64,0.3333
UAlbertaBot,65,0.1818
UAlbertaBot,66,0.25
UAlbertaBot,67,0.3333
UAlbertaBot,68,0.25
UAlbertaBot,69,0.2727
UAlbertaBot,70,0.25
UAlbertaBot,71,0.25
UAlbertaBot,72,0.1667
UAlbertaBot,73,0.25
UAlbertaBot,74,0.3333
UAlbertaBot,75,0.4545
UAlbertaBot,76,0.25
UAlbertaBot,77,0.4
UAlbertaBot,78,0.25
UAlbertaBot,79,0.3333
UAlbertaBot,80,0.3636
UAlbertaBot,81,0.3333
UAlbertaBot,82,0.1667
UAlbertaBot,83,0.3
UAlbertaBot,84,0.25
UAlbertaBot,85,0.3333
UAlbertaBot,86,0.3333
UAlbertaBot,87,0.25
UAlbertaBot,88,0.25
UAlbertaBot,89,0.3333
UAlbertaBot,90,0.25
